chr,pos,ref length,query length,read length,mapping quality,read name,seq library,strand,tpn promoter orient
chr2,81596347,35,77,77,22,K00275:54:HHHJTBBXX:8:2201:17482:12937,IRR,+,+
chr2,81596347,35,77,77,22,K00275:54:HHHJTBBXX:8:2201:17563:13078,IRR,+,+
chr5,83809232,80,147,147,24,K00275:54:HHHJTBBXX:8:1109:8826:18687,IRR,+,+
chr5,83809232,80,147,147,24,K00275:54:HHHJTBBXX:8:1109:8146:21553,IRR,+,+
chr5,83809232,80,148,148,24,K00275:54:HHHJTBBXX:8:1120:6177:40367,IRR,+,+
chr5,108070062,46,86,86,22,K00275:54:HHHJTBBXX:8:2206:27509:48456,IRR,+,+
chr6,53233203,102,144,144,42,K00275:54:HHHJTBBXX:8:1126:9211:11266,IRR,+,+
chr6,53233234,71,113,113,28,K00275:54:HHHJTBBXX:8:1116:7446:33527,IRR,+,+
chr6,53233239,66,107,107,24,K00275:54:HHHJTBBXX:8:2203:28787:31013,IRR,+,+
chr6,53233243,79,147,147,28,K00275:54:HHHJTBBXX:8:1114:9617:27197,IRR,+,+
chr6,53233243,79,147,147,28,K00275:54:HHHJTBBXX:8:1125:22932:34020,IRR,+,+
chr6,53233243,79,147,147,28,K00275:54:HHHJTBBXX:8:1125:20476:38627,IRR,+,+
chr6,53233243,79,147,147,28,K00275:54:HHHJTBBXX:8:1214:13311:9789,IRR,+,+
chr6,53233243,79,147,147,28,K00275:54:HHHJTBBXX:8:2113:20111:4901,IRR,+,+
chr6,53233243,79,147,147,28,K00275:54:HHHJTBBXX:8:2112:18284:17104,IRR,+,+
chr6,53233243,79,147,147,28,K00275:54:HHHJTBBXX:8:2120:2392:23821,IRR,+,+
chr6,53233252,53,91,91,22,K00275:54:HHHJTBBXX:8:2204:22181:32859,IRR,+,+
chr6,53233262,43,88,88,22,K00275:54:HHHJTBBXX:8:1101:15077:44675,IRR,+,+
chr6,86910668,108,148,148,42,K00275:54:HHHJTBBXX:8:2208:24556:20164,IRR,+,+
chr14,38876066,95,122,122,41,K00275:54:HHHJTBBXX:8:2110:19542:34512,IRR,+,+
chr16,21614216,101,146,146,41,K00275:54:HHHJTBBXX:8:1208:19938:19865,IRR,+,+
chr19,35696282,121,121,121,18,K00275:54:HHHJTBBXX:8:1208:26169:12339,IRR,+,+
