chr,pos,ref length,query length,read length,mapping quality,read name,seq library,strand,tpn promoter orient
chr6,25670362,63,123,123,24,K00275:54:HHHJTBBXX:8:2107:11972:25333,IRR,+,+
chr6,53233256,49,148,148,22,K00275:54:HHHJTBBXX:8:1112:4371:24296,IRR,+,+
chr6,53233267,38,80,80,22,K00275:54:HHHJTBBXX:8:1128:4229:27250,IRR,+,+
chr6,86910819,95,133,133,41,K00275:54:HHHJTBBXX:8:2121:10044:4796,IRR,+,+
chr6,86910826,88,130,130,36,K00275:54:HHHJTBBXX:8:2128:10612:47665,IRR,+,+
chr6,86910840,74,119,119,28,K00275:54:HHHJTBBXX:8:1218:28473:9051,IRR,+,+
chr6,86910856,58,96,96,24,K00275:54:HHHJTBBXX:8:2106:22475:4567,IRR,+,+
chr7,77447575,113,120,120,44,K00275:54:HHHJTBBXX:8:1210:20019:32138,IRR,+,+
chr7,77447575,50,122,122,22,K00275:54:HHHJTBBXX:8:1223:28605:8330,IRR,+,+
chr14,20551771,46,122,122,22,K00275:54:HHHJTBBXX:8:2111:23196:41018,IRR,+,+
chr14,20551771,120,123,123,44,K00275:54:HHHJTBBXX:8:2225:30381:21184,IRR,+,+
chr14,20551771,120,123,123,44,K00275:54:HHHJTBBXX:8:2225:30259:21254,IRR,+,+
chr16,21614233,83,122,122,36,K00275:54:HHHJTBBXX:8:2208:25581:2316,IRR,+,+
chr16,62473610,60,102,102,24,K00275:54:HHHJTBBXX:8:2205:26961:48843,IRR,+,+
